UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
112515481,651057,2021-03-04 07:19:01,2021-03-04 07:34:14,Jagie³³y / Dmowskiego ,Otyñska,16
112515845,650937,2021-03-04 07:32:25,2021-03-04 07:35:21,Drobnera / Dubois,Poza stacj¹,3
112515830,651124,2021-03-04 07:31:47,2021-03-04 07:35:24,Jagodziñska / Buforowa,Buforowa - Vivaldiego,4
112515728,651131,2021-03-04 07:28:51,2021-03-04 07:35:28,Plac Dominikañski (Galeria Dominikañska),Drobnera / Plac Bema,7
112515781,57292,2021-03-04 07:30:15,2021-03-04 07:35:56,Drzewieckiego / Dedala,Lotnicza / Na Ostatnim Groszu,6
112515825,57482,2021-03-04 07:31:42,2021-03-04 07:36:59,Legnicka (Park Magnolia),Fabryczna / Wagonowa,6
112515794,57776,2021-03-04 07:30:45,2021-03-04 07:37:43,"Dworzec G³ówny, po³udnie",Koœciuszki / Pu³askiego,7
112515740,650485,2021-03-04 07:29:11,2021-03-04 07:38:10,Promenady Wroc³awskie,Plac Uniwersytecki (UWr),9
112515714,57418,2021-03-04 07:28:15,2021-03-04 07:39:44,Zaporoska / Gajowicka,Rynek,12
112515699,57742,2021-03-04 07:27:46,2021-03-04 07:40:20,Promenady Wroc³awskie,Szewska / Kazimierza Wielkiego ,13
112515504,650777,2021-03-04 07:19:43,2021-03-04 07:40:22,Œwieradowska (Ferio Gaj ),Koœciuszki / Komuny Paryskiej / Zgodna,21
112515590,57373,2021-03-04 07:23:33,2021-03-04 07:40:28,Bezpieczna/Jugos³awiañska,Kazimierza Wielkiego (Helios),17
112515422,650952,2021-03-04 07:16:45,2021-03-04 07:40:39,al. Armii Krajowej / Bardzka,Drobnera / Plac Bema,24
112515887,650064,2021-03-04 07:33:36,2021-03-04 07:41:04,PrzyjaŸni / Karkonoska,Poza stacj¹,8
112516217,651362,2021-03-04 07:41:45,2021-03-04 07:41:56,Kazimierza Wielkiego (Helios),Kazimierza Wielkiego (Helios),1
112515807,650827,2021-03-04 07:31:18,2021-03-04 07:41:59,¯eromskiego / Daszyñskiego,Plac Uniwersytecki (UWr),11
112515676,651382,2021-03-04 07:26:42,2021-03-04 07:42:06,Traugutta / Koœciuszki,Kazimierza Wielkiego (Helios),16
